2026-05-22 10:27:53 | DEBUG    | yfinance                       |      Exiting _get_cookie_and_crumb_basic()
2026-05-22 10:27:53 | DEBUG    | yfinance                       |     Exiting _get_cookie_and_crumb()
2026-05-22 10:27:54 | DEBUG    | yfinance                       | response code=200
2026-05-22 10:27:54 | DEBUG    | yfinance                       |    Exiting _make_request()
2026-05-22 10:27:54 | DEBUG    | yfinance                       |   Exiting get()
2026-05-22 10:27:54 | DEBUG    | yfinance                       | YPF: yfinance received OHLC data: 2024-01-01 05:00:00 -> 2024-01-29 05:00:00
2026-05-22 10:27:54 | DEBUG    | yfinance                       | YPF: OHLC after cleaning: 2024-01-01 00:00:00-05:00 -> 2024-01-29 00:00:00-05:00
2026-05-22 10:27:54 | DEBUG    | yfinance                       | YPF: OHLC after combining events: 2024-01-01 00:00:00-05:00 -> 2024-01-29 00:00:00-05:00
2026-05-22 10:27:54 | DEBUG    | yfinance                       | YPF: yfinance returning OHLC: 2024-01-01 00:00:00-05:00 -> 2024-01-29 00:00:00-05:00
2026-05-22 10:27:54 | DEBUG    | yfinance                       |  Exiting history()
2026-05-22 10:27:54 | DEBUG    | yfinance                       | Exiting history()
2026-05-22 10:27:54 | DEBUG    | yfinance                       | Entering history()
2026-05-22 10:27:54 | DEBUG    | peewee                         | ('SELECT "t1"."key", "t1"."value" FROM "_tz_kv" AS "t1" WHERE ("t1"."key" = ?) LIMIT ? OFFSET ?', ['GGAL', 1, 0])
2026-05-22 10:27:54 | DEBUG    | yfinance                       |  Entering history()
2026-05-22 10:27:54 | DEBUG    | yfinance                       | GGAL: Yahoo GET parameters: {'period1': '2024-01-01 00:00:00-05:00', 'period2': '2024-01-31 00:00:00-05:00', 'interval': '1wk', 'includePrePost': False, 'events': 'div,splits,capitalGains'}
2026-05-22 10:27:54 | DEBUG    | yfinance                       |   Entering get()
2026-05-22 10:27:54 | DEBUG    | yfinance                       |    Entering _make_request()
2026-05-22 10:27:54 | DEBUG    | yfinance                       | url=https://query2.finance.yahoo.com/v8/finance/chart/GGAL
2026-05-22 10:27:54 | DEBUG    | yfinance                       | params=frozendict.frozendict({'period1': 1704085200, 'period2': 1706677200, 'interval': '1wk', 'includePrePost': False, 'events': 'div,splits,capitalGains'})
2026-05-22 10:27:54 | DEBUG    | yfinance                       |     Entering _get_cookie_and_crumb()
2026-05-22 10:27:54 | DEBUG    | yfinance                       | cookie_mode = 'basic'
2026-05-22 10:27:54 | DEBUG    | yfinance                       |      Entering _get_cookie_and_crumb_basic()
2026-05-22 10:27:54 | DEBUG    | yfinance                       |       Entering _get_cookie_basic()
2026-05-22 10:27:54 | DEBUG    | yfinance                       | reusing cookie
2026-05-22 10:27:54 | DEBUG    | yfinance                       |       Exiting _get_cookie_basic()
2026-05-22 10:27:54 | DEBUG    | yfinance                       |       Entering _get_crumb_basic()
2026-05-22 10:27:54 | DEBUG    | yfinance                       | reusing crumb
2026-05-22 10:27:54 | DEBUG    | yfinance                       |       Exiting _get_crumb_basic()
2026-05-22 10:27:54 | DEBUG    | yfinance                       |      Exiting _get_cookie_and_crumb_basic()
2026-05-22 10:27:54 | DEBUG    | yfinance                       |     Exiting _get_cookie_and_crumb()
2026-05-22 10:27:54 | DEBUG    | yfinance                       | response code=200
2026-05-22 10:27:54 | DEBUG    | yfinance                       |    Exiting _make_request()
2026-05-22 10:27:54 | DEBUG    | yfinance                       |   Exiting get()
2026-05-22 10:27:54 | DEBUG    | yfinance                       | GGAL: yfinance received OHLC data: 2024-01-01 05:00:00 -> 2024-01-29 05:00:00
2026-05-22 10:27:54 | DEBUG    | yfinance                       | GGAL: OHLC after cleaning: 2024-01-01 00:00:00-05:00 -> 2024-01-29 00:00:00-05:00
2026-05-22 10:27:54 | DEBUG    | yfinance                       | GGAL: OHLC after combining events: 2024-01-01 00:00:00-05:00 -> 2024-01-29 00:00:00-05:00
2026-05-22 10:27:54 | DEBUG    | yfinance                       | GGAL: yfinance returning OHLC: 2024-01-01 00:00:00-05:00 -> 2024-01-29 00:00:00-05:00
2026-05-22 10:27:54 | DEBUG    | yfinance                       |  Exiting history()
2026-05-22 10:27:54 | DEBUG    | yfinance                       | Exiting history()
2026-05-22 10:27:54 | DEBUG    | yfinance                       | Entering history()
2026-05-22 10:27:54 | DEBUG    | peewee                         | ('SELECT "t1"."key", "t1"."value" FROM "_tz_kv" AS "t1" WHERE ("t1"."key" = ?) LIMIT ? OFFSET ?', ['BMA', 1, 0])
2026-05-22 10:27:54 | DEBUG    | yfinance                       |  Entering history()
2026-05-22 10:27:54 | DEBUG    | yfinance                       | BMA: Yahoo GET parameters: {'period1': '2024-01-01 00:00:00-05:00', 'period2': '2024-01-31 00:00:00-05:00', 'interval': '1wk', 'includePrePost': False, 'events': 'div,splits,capitalGains'}
2026-05-22 10:27:54 | DEBUG    | yfinance                       |   Entering get()
2026-05-22 10:27:54 | DEBUG    | yfinance                       |    Entering _make_request()
2026-05-22 10:27:54 | DEBUG    | yfinance                       | url=https://query2.finance.yahoo.com/v8/finance/chart/BMA
2026-05-22 10:27:54 | DEBUG    | yfinance                       | params=frozendict.frozendict({'period1': 1704085200, 'period2': 1706677200, 'interval': '1wk', 'includePrePost': False, 'events': 'div,splits,capitalGains'})
2026-05-22 10:27:54 | DEBUG    | yfinance                       |     Entering _get_cookie_and_crumb()
2026-05-22 10:27:54 | DEBUG    | yfinance                       | cookie_mode = 'basic'
2026-05-22 10:27:54 | DEBUG    | yfinance                       |      Entering _get_cookie_and_crumb_basic()
